Temperatura;Humedad;VelViento;GDF;DiffusalF;Zona1
15.39;73.30;0.08;0.04;0.11;43163.54
15.32;73.70;0.07;0.05;0.11;43108.86
15.32;73.60;0.07;0.05;0.10;43121.01
15.29;73.60;0.07;0.07;0.12;43218.23
15.29;73.40;0.08;0.07;0.10;43042.03
15.31;73.60;0.08;0.06;0.05;42507.34
15.33;73.80;0.08;0.06;0.13;42294.68
15.36;74.40;0.07;0.04;0.15;42124.56
15.30;75.90;0.07;0.02;0.13;42592.41
15.22;76.40;0.07;0.04;0.16;42519.49
15.16;76.40;0.07;0.03;0.21;42446.58
15.14;76.00;0.07;0.05;0.15;42355.44
15.12;75.80;0.07;0.06;0.13;41984.81
15.12;75.60;0.08;0.07;0.14;41796.46
15.09;76.00;0.07;0.08;0.09;41267.85
15.07;76.80;0.07;0.04;0.14;41043.04
15.04;76.90;0.08;0.06;0.11;40502.28
15.09;77.20;0.07;0.07;0.09;39682.03
15.10;76.90;0.08;0.08;0.14;38849.62
15.10;76.50;0.07;0.06;0.12;38521.52
15.06;76.40;0.07;0.07;0.15;38205.57
15.05;76.40;0.07;0.05;0.12;37719.49
15.02;76.20;0.07;0.07;0.12;36814.18
14.96;75.90;0.07;0.06;0.10;35483.54
14.91;75.90;0.07;0.05;0.14;34620.76
14.91;76.10;0.07;0.05;0.14;33539.24
14.86;76.10;0.07;0.09;0.11;32251.14
14.83;76.00;0.07;0.07;0.15;31424.81
14.78;76.30;0.07;0.06;0.12;30318.99
14.74;76.90;0.08;0.07;0.10;29784.30
14.67;77.00;0.08;0.05;0.16;29115.95
14.61;76.90;0.08;0.07;0.10;28386.84
14.51;78.00;0.07;0.03;0.13;27712.41
14.49;78.90;0.08;0.07;0.15;27098.73
14.47;79.00;0.08;0.03;0.13;26424.30
14.48;78.60;0.08;0.04;0.12;25907.85
14.47;78.70;0.08;0.04;0.16;25318.48
14.42;79.00;0.08;0.06;0.12;25051.14
14.41;79.30;0.08;0.06;0.15;24637.97
14.43;79.50;0.08;0.03;0.18;24358.48
14.45;79.30;0.08;0.06;0.11;23908.86
14.51;79.20;0.08;0.04;0.14;23507.85
14.56;79.20;0.08;0.02;0.18;23222.28
14.59;78.90;0.08;0.05;0.15;22906.33
14.67;78.90;0.08;0.03;0.17;22681.52
14.67;78.90;0.08;0.03;0.15;22541.77
14.66;78.60;0.08;0.05;0.18;22572.15
14.64;78.60;0.08;0.05;0.16;22535.70
14.64;78.40;0.08;0.04;0.16;22468.86
14.62;78.10;0.08;0.04;0.15;22383.80
14.55;78.20;0.07;0.06;0.15;22250.13
14.53;78.10;0.07;0.06;0.16;22219.75
14.53;78.60;0.07;0.05;0.15;22165.06
14.50;79.20;0.08;0.08;0.15;21940.25
14.44;79.40;0.08;0.07;0.11;21782.28
14.40;79.10;0.08;0.05;0.16;21843.04
14.45;79.10;0.08;0.06;0.12;21770.13
14.39;78.90;0.08;0.04;0.13;21678.99
14.37;78.50;0.08;0.05;0.13;21527.09
14.33;78.10;0.08;0.02;0.20;21928.10
14.28;77.90;0.08;0.07;0.16;22049.62
14.31;78.00;0.08;0.05;0.21;21891.65
14.29;78.70;0.08;0.04;0.12;22007.09
14.20;78.80;0.08;0.03;0.12;22134.68
14.27;78.90;0.08;0.08;0.15;22444.56
14.34;78.90;0.08;0.04;0.15;22566.08
14.37;79.20;0.08;0.06;0.18;23526.08
14.33;79.40;0.08;0.04;0.12;24212.66
14.33;79.10;0.08;0.04;0.16;24382.78
14.25;78.90;0.08;0.06;0.15;24753.42
14.30;78.80;0.08;0.06;0.17;25306.33
14.37;78.60;0.08;0.08;0.15;25421.77
14.47;78.60;0.08;0.08;0.10;25111.90
14.46;78.80;0.08;0.06;0.20;25124.05
14.45;78.70;0.08;0.05;0.15;25032.91
14.44;78.70;0.08;0.08;0.11;24984.30
14.33;78.30;0.08;0.09;0.08;24777.72
14.30;77.70;0.08;0.06;0.13;24565.06
14.12;77.50;0.08;0.10;0.15;24182.28
12.93;77.50;0.08;0.12;0.19;24947.85
12.41;78.50;0.08;0.63;0.63;25689.11
12.13;78.60;0.08;2.17;2.33;26053.67
11.80;79.30;0.08;5.19;5.21;26284.56
11.72;80.00;0.07;11.91;11.62;26655.19
11.74;80.20;0.07;17.44;16.87;27080.51
11.54;80.10;0.07;25.28;24.26;27997.97
11.46;80.90;0.08;28.94;27.78;28666.33
11.64;80.80;0.08;38.24;34.34;28951.90
11.93;80.20;0.07;134.10;64.64;29462.28
12.38;79.00;0.08;164.50;57.69;29984.81
13.22;77.30;0.08;191.10;54.90;30227.85
14.45;74.00;0.08;233.00;69.06;31169.62
14.97;67.32;0.08;291.50;103.10;31825.82
15.41;66.39;0.08;337.40;126.80;32062.78
15.45;66.89;0.08;330.10;98.30;32700.76
15.41;67.76;0.08;314.40;72.80;33284.05
15.32;67.76;0.07;329.60;71.20;33399.49
15.43;67.69;0.08;356.50;73.30;33569.62
15.59;65.69;0.08;357.70;76.90;33849.11
15.46;65.52;0.08;300.70;96.80;34468.86
15.54;66.12;0.08;363.20;121.40;34827.34
15.68;65.52;0.08;413.90;108.00;34711.90
15.81;64.99;0.07;410.00;89.80;34474.94
15.73;65.62;0.07;420.70;114.50;34292.66
15.80;65.25;0.08;473.10;108.10;34760.51
15.84;63.89;0.08;450.40;123.20;35240.51
15.93;64.09;0.08;414.60;128.40;35337.72
16.01;63.68;0.07;488.50;110.50;35775.19
16.03;63.58;0.08;518.10;108.60;35538.23
16.09;63.45;0.07;475.00;138.30;35355.95
16.20;64.05;0.07;521.90;123.10;35106.84
16.24;63.68;0.08;496.80;95.80;35386.33
16.22;64.15;0.08;484.20;82.70;35374.18
16.39;63.55;0.08;484.90;86.70;35088.61
16.26;64.15;0.08;473.60;78.10;34930.63
16.28;64.05;0.08;461.80;78.60;34979.24
16.32;64.02;0.08;458.80;77.20;35131.14
16.58;63.15;0.08;449.70;84.00;34669.37
16.23;64.52;0.08;436.70;103.30;34335.19
16.27;64.22;0.08;418.60;136.90;34250.13
16.22;64.25;0.08;329.80;158.60;34195.44
16.05;64.29;0.08;160.10;132.60;34237.97
15.82;65.32;0.08;180.70;173.70;33940.25
15.83;65.45;0.08;188.50;190.20;33490.63
15.82;66.09;0.08;186.60;183.60;33636.46
15.81;68.32;0.07;370.40;390.60;33587.85
15.91;68.56;0.08;369.90;401.80;33314.43
16.03;68.36;0.08;332.30;365.60;33472.41
16.02;68.22;0.08;297.50;332.70;33654.68
16.04;67.79;0.08;145.30;159.40;34037.47
15.72;68.62;0.08;52.75;50.59;34128.61
15.63;69.53;0.08;158.50;192.40;34207.59
15.78;69.93;0.08;236.00;266.80;34061.77
15.69;69.33;0.08;167.20;195.10;34007.09
15.61;69.36;0.08;123.60;147.40;35131.14
15.51;69.63;0.08;99.70;120.10;36656.20
15.44;69.69;0.08;79.50;96.90;39147.34
15.33;70.20;0.08;59.64;73.70;42136.71
15.19;70.90;0.08;40.94;50.57;44056.71
15.06;71.40;0.08;16.86;17.78;44263.29
14.88;72.70;0.08;8.24;8.40;44524.56
14.69;73.20;0.08;4.34;4.48;44603.54
14.12;75.20;0.09;1.68;1.71;44627.85
13.62;76.70;0.08;0.36;0.42;44451.65
13.23;78.00;0.08;0.06;0.12;44056.71
12.89;79.00;0.08;0.08;0.10;44014.18
12.61;80.00;0.07;0.06;0.09;43740.76
12.25;81.10;0.08;0.07;0.10;43953.42
12.07;81.80;0.07;0.06;0.09;43807.59
11.95;82.30;0.08;0.08;0.08;43272.91
11.89;82.50;0.08;0.07;0.10;42859.75
11.83;82.80;0.07;0.05;0.10;42908.35
11.73;83.00;0.07;0.05;0.10;43370.13
11.84;83.20;0.07;0.04;0.11;43758.99
11.45;83.60;0.08;0.07;0.10;43376.20
11.14;83.60;0.09;0.05;0.11;43005.57
11.37;84.30;0.09;0.06;0.10;42683.54
11.31;84.10;0.08;0.06;0.11;41960.51
11.02;84.90;0.09;0.03;0.10;41741.77
10.85;85.20;0.08;0.07;0.12;41249.62
11.01;86.30;0.08;0.07;0.07;40976.20
10.99;86.10;0.08;0.06;0.08;40380.76
11.17;86.00;0.08;0.04;0.10;39809.62
11.35;85.90;0.08;0.04;0.15;38995.44
11.44;85.20;0.09;0.04;0.09;38448.61
11.13;84.60;0.08;0.03;0.15;37962.53
10.71;85.80;0.08;0.07;0.09;37124.05
10.63;86.00;0.09;0.04;0.13;36376.71
10.56;86.20;0.09;0.07;0.13;35732.66
10.41;86.20;0.09;0.08;0.13;34699.75
10.16;86.80;0.09;0.04;0.08;33800.51
10.41;87.00;0.08;0.06;0.07;32907.34
10.39;86.30;0.09;0.08;0.17;31935.19
10.13;86.50;0.08;0.07;0.11;30956.96
10.24;86.50;0.09;0.07;0.10;29772.15
10.25;85.90;0.09;0.07;0.12;29115.95
10.15;85.50;0.09;0.07;0.11;28593.42
10.05;85.50;0.09;0.03;0.16;27955.44
10.15;85.30;0.09;0.08;0.13;27457.22
10.19;84.70;0.09;0.06;0.14;26904.30
9.98;84.60;0.09;0.06;0.13;26126.58
9.84;84.60;0.09;0.07;0.09;25689.11
9.62;84.60;0.09;0.06;0.13;25324.56
9.83;84.70;0.09;0.03;0.12;24966.08
10.12;84.90;0.09;0.06;0.12;24704.81
10.22;84.60;0.09;0.06;0.13;24340.25
9.93;84.60;0.09;0.08;0.14;23829.87
9.63;85.00;0.08;0.09;0.13;23617.22
9.82;84.80;0.09;0.05;0.15;23204.05
10.02;83.10;0.09;0.07;0.15;23143.29
10.22;82.60;0.09;0.05;0.11;23021.77
10.24;82.30;0.09;0.08;0.13;22924.56
10.07;83.10;0.09;0.06;0.14;22766.58
9.79;83.00;0.08;0.04;0.10;22693.67
9.10;84.00;0.08;0.05;0.12;22438.48
8.93;84.30;0.08;0.07;0.12;22329.11
8.95;84.00;0.09;0.06;0.13;22256.20
9.28;83.00;0.08;0.08;0.15;22152.91
9.41;83.40;0.08;0.06;0.13;22140.76
9.23;85.30;0.09;0.06;0.13;22055.70
9.49;85.40;0.09;0.08;0.17;22080.00
9.67;84.80;0.09;0.04;0.18;22092.15
9.92;83.20;0.09;0.08;0.12;22122.53
9.55;81.60;0.08;0.07;0.11;22116.46
9.29;81.90;0.09;0.06;0.12;22201.52
9.59;80.70;0.09;0.09;0.10;22310.89
9.70;79.00;0.08;0.08;0.13;22250.13
9.54;76.20;0.09;0.06;0.12;22371.65
9.27;74.30;0.08;0.06;0.12;22766.58
9.07;77.30;0.08;0.07;0.13;23076.46
8.78;79.20;0.08;0.05;0.16;23246.58
8.91;81.60;0.09;0.07;0.12;24273.42
8.87;81.10;0.08;0.06;0.15;24473.92
8.98;78.90;0.08;0.07;0.21;24565.06
9.19;76.10;0.08;0.09;0.10;24449.62
9.33;76.50;0.09;0.07;0.13;24164.05
9.40;77.30;0.09;0.11;0.13;23586.84
9.21;79.40;0.08;0.06;0.14;22474.94
8.97;80.70;0.09;0.07;0.14;21484.56
9.40;80.50;0.09;0.08;0.15;20949.87
9.72;79.00;0.09;0.08;0.13;20810.13
10.10;77.40;0.09;0.04;0.14;21071.39
10.40;74.10;0.08;0.07;0.12;21156.46
10.17;66.83;0.09;0.14;0.13;21843.04
9.86;67.53;0.08;0.76;0.71;22474.94
9.65;69.43;0.08;3.73;3.69;22948.86
9.38;67.13;0.08;9.33;9.05;23459.24
9.44;67.33;0.08;17.67;16.97;23963.54
9.20;66.82;0.08;24.76;23.16;24656.20
9.57;66.13;0.09;67.35;60.83;25403.54
9.68;68.23;0.08;90.50;75.30;25822.78
9.34;71.10;0.08;111.80;82.10;26539.75
9.02;73.10;0.08;142.20;80.00;27171.65
9.24;67.27;0.08;169.90;70.40;27785.32
9.93;66.77;0.09;190.70;61.50;28423.29
10.42;64.57;0.09;218.60;56.99;29176.71
10.74;65.90;0.09;238.80;54.17;29529.11
10.74;66.77;0.09;253.70;52.79;30209.62
10.90;65.40;0.08;257.40;54.77;30950.89
11.43;64.14;0.09;288.00;60.40;31509.87
12.05;63.34;0.09;202.40;76.80;31898.73
12.76;60.40;0.08;297.20;81.60;32621.77
12.95;58.86;0.09;337.30;78.90;33089.62
13.49;57.29;0.09;343.50;84.80;33162.53
13.88;57.36;0.09;384.90;82.80;33290.13
14.37;56.62;0.08;426.20;78.80;33502.78
14.90;53.92;0.08;430.20;71.40;33697.22
15.99;54.12;0.08;438.80;73.30;33861.27
16.75;53.26;0.08;446.80;77.80;33934.18
17.31;53.69;0.08;453.30;81.20;34061.77
17.88;51.32;0.08;457.30;83.90;34037.47
18.07;51.72;0.08;368.70;95.40;33964.56
18.14;51.95;0.08;375.80;117.60;33885.57
18.24;50.35;0.08;456.50;135.40;33691.14
18.38;47.88;0.08;487.10;158.30;33964.56
18.44;47.81;0.09;499.20;176.60;33928.10
18.50;47.35;0.08;414.60;162.10;33764.05
18.48;46.98;0.08;324.10;204.80;33788.35
18.57;47.41;0.09;361.90;248.30;33915.95
18.70;46.91;0.09;312.40;238.30;33563.54
18.68;46.64;0.09;280.80;222.40;33800.51
18.56;44.60;0.09;306.60;215.90;33381.27
18.66;44.74;0.08;353.10;224.40;33120.00
18.65;44.77;0.08;317.40;215.40;33041.01
18.94;45.04;0.09;402.60;280.70;32828.35
19.02;44.17;0.09;391.90;332.00;32816.20
19.04;44.84;0.09;361.80;348.90;32749.37
19.10;45.61;0.08;347.80;355.20;32415.19
19.20;45.74;0.08;345.60;365.90;32281.52
19.30;45.14;0.08;329.00;354.60;32038.48
19.44;44.84;0.09;315.70;344.30;31813.67
19.48;45.80;0.09;269.00;292.60;31910.89
19.45;46.27;0.08;249.70;272.70;31898.73
19.44;45.37;0.09;177.00;188.40;31868.35
19.23;45.00;0.08;95.80;98.00;31862.28
19.01;45.33;0.09;98.20;100.20;31819.75
18.88;48.40;0.09;126.20;130.20;32081.01
18.67;48.40;0.09;103.60;105.50;32354.43
18.63;46.43;0.09;103.40;109.70;33198.99
18.63;45.56;0.08;98.70;108.00;34487.09
18.47;45.36;0.09;75.30;84.00;36905.32
18.28;46.90;0.09;48.89;53.91;39785.32
17.89;50.04;0.09;31.33;33.01;41644.56
17.70;51.71;0.09;19.01;19.70;42896.20
17.62;54.94;0.09;9.47;9.82;43716.46
17.08;57.21;0.09;4.02;4.15;43570.63
16.80;57.84;0.08;1.24;1.30;43564.56
16.83;57.98;0.09;0.26;0.33;43740.76
16.65;58.05;0.09;0.07;0.13;43582.78
16.33;59.85;0.08;0.04;0.10;43327.59
16.44;60.55;0.09;0.07;0.13;43382.28
16.28;62.28;0.08;0.06;0.11;43522.03
16.06;64.55;0.08;0.08;0.09;43479.49
16.03;65.96;0.08;0.06;0.12;43382.28
15.78;67.09;0.09;0.07;0.11;42811.14
15.84;66.59;0.08;0.06;0.13;42902.28
15.98;65.22;0.08;0.07;0.12;43455.19
15.77;66.72;0.09;0.08;0.12;43856.20
15.15;71.70;0.09;0.05;0.13;43230.38
14.53;74.10;0.09;0.05;0.16;42932.66
14.06;75.20;0.08;0.07;0.14;42507.34
13.79;74.00;0.08;0.05;0.17;42282.53
13.92;73.10;0.09;0.07;0.14;42124.56
13.09;71.40;0.09;0.07;0.09;41778.23
12.70;73.30;0.09;0.06;0.10;41267.85
13.02;74.10;0.09;0.05;0.10;40313.92
13.22;74.00;0.09;0.06;0.12;39633.42
13.40;73.40;0.09;0.07;0.10;39159.49
13.20;68.09;0.09;0.03;0.10;39116.96
12.67;67.42;0.09;0.04;0.15;38454.68
12.80;68.22;0.09;0.06;0.11;37579.75
12.65;71.60;0.09;0.04;0.14;36583.29
12.38;73.90;0.08;0.06;0.13;35781.27
12.14;76.50;0.09;0.05;0.09;35052.15
11.85;76.60;0.09;0.08;0.10;33988.86
11.89;75.30;0.09;0.05;0.12;32840.51
12.03;70.10;0.09;0.06;0.10;31916.96
12.21;69.99;0.09;0.05;0.13;31017.72
12.10;71.70;0.09;0.09;0.08;30124.56
11.57;72.00;0.08;0.07;0.10;29243.54
11.42;69.69;0.09;0.05;0.15;28265.32
11.27;70.90;0.09;0.05;0.11;27688.10
11.14;72.80;0.09;0.05;0.15;27098.73
10.68;74.00;0.09;0.07;0.08;26734.18
10.55;73.20;0.09;0.08;0.12;25992.91
10.40;72.90;0.09;0.06;0.12;25616.20
10.65;71.20;0.09;0.05;0.10;25336.71
10.80;71.40;0.09;0.03;0.16;24820.25
10.61;72.50;0.09;0.08;0.13;24346.33
9.90;76.10;0.08;0.08;0.10;23775.19
9.62;76.80;0.08;0.08;0.16;23793.42
10.01;76.50;0.09;0.08;0.14;23659.75
10.19;75.80;0.09;0.08;0.14;23471.39
10.12;74.40;0.09;0.07;0.13;23234.43
10.11;74.80;0.08;0.09;0.08;23137.22
9.96;76.10;0.09;0.02;0.19;22657.22
9.75;76.50;0.09;0.04;0.14;22523.54
9.81;76.00;0.09;0.06;0.12;22456.71
9.98;75.10;0.08;0.04;0.11;22298.73
9.91;76.10;0.08;0.07;0.17;22347.34
9.53;76.50;0.08;0.05;0.14;22237.97
9.16;76.90;0.08;0.05;0.12;22219.75
9.06;77.00;0.09;0.08;0.09;22158.99
9.21;76.70;0.08;0.07;0.10;22067.85
9.25;75.40;0.09;0.07;0.17;22140.76
9.14;75.00;0.09;0.06;0.12;22067.85
9.23;74.90;0.08;0.08;0.12;21812.66
9.52;74.20;0.07;0.08;0.15;21612.15
9.67;73.20;0.08;0.05;0.15;21727.59
9.54;72.00;0.08;0.07;0.10;21897.72
10.03;70.40;0.08;0.04;0.11;21867.34
10.12;69.30;0.08;0.05;0.10;22001.01
10.33;69.00;0.08;0.06;0.13;22426.33
10.57;68.23;0.08;0.05;0.15;22936.71
10.48;67.39;0.08;0.07;0.12;23374.18
10.53;67.79;0.08;0.07;0.12;24261.27
10.70;68.16;0.08;0.05;0.13;24662.28
10.85;68.36;0.07;0.06;0.13;24917.47
11.11;67.80;0.08;0.03;0.16;24795.95
11.22;68.54;0.08;0.07;0.14;25117.97
11.42;68.80;0.07;0.07;0.11;25446.08
11.59;69.31;0.07;0.03;0.16;25093.67
11.55;70.80;0.08;0.05;0.14;25245.57
11.55;71.10;0.08;0.09;0.13;24996.46
11.24;72.10;0.08;0.08;0.10;24710.89
11.17;73.40;0.08;0.06;0.14;24528.61
10.89;75.70;0.08;0.04;0.11;24309.87
10.85;77.80;0.08;0.08;0.13;24692.66
11.09;77.70;0.08;0.14;0.22;25640.51
11.26;77.50;0.08;0.49;0.46;25865.32
11.51;78.60;0.08;1.59;1.54;26728.10
11.62;78.80;0.08;2.83;2.85;27116.96
11.66;81.60;0.08;4.80;4.65;27572.66
13.50;83.70;0.07;10.05;9.61;28496.20
13.34;79.50;0.08;16.41;15.69;29201.01
14.09;79.90;0.07;37.99;38.14;29705.32
14.75;75.60;0.08;58.42;59.21;30112.41
14.84;75.30;0.08;39.54;39.65;30701.77
15.06;74.70;0.07;47.41;46.76;31783.29
15.22;74.20;0.07;108.20;98.60;32147.85
15.53;74.10;0.08;289.60;195.00;32372.66
16.03;73.00;0.08;365.40;223.80;33010.63
16.62;71.50;0.08;409.30;223.90;33411.65
16.97;67.21;0.08;328.00;195.80;33484.56
16.86;64.47;0.08;183.80;175.40;33399.49
16.92;64.47;0.08;199.90;190.70;34256.20
17.02;68.81;0.08;228.30;217.60;34675.44
16.91;74.10;0.08;253.30;235.60;34857.72
16.63;75.20;0.08;254.40;227.40;35544.30
16.71;75.10;0.08;391.10;188.20;35914.94
17.04;74.10;0.08;444.50;116.90;35702.28
17.15;71.70;0.08;353.90;125.20;35246.58
17.12;73.30;0.08;373.40;221.20;35562.53
17.02;73.70;0.08;577.50;299.80;36151.90
17.26;73.40;0.07;606.90;245.80;36571.14
17.23;72.90;0.08;502.40;272.80;36838.48
17.09;73.20;0.07;334.20;292.80;36613.67
17.13;73.40;0.07;634.90;329.20;35665.82
17.43;71.50;0.07;666.80;329.70;35805.57
17.51;70.40;0.07;709.00;375.70;35823.80
17.61;69.81;0.08;466.60;336.00;35501.77
17.42;70.30;0.07;433.70;311.50;35331.65
17.29;70.20;0.07;337.70;189.00;34991.39
17.05;71.60;0.07;233.10;204.20;35283.04
16.86;72.90;0.07;401.00;255.60;35076.46
16.93;73.00;0.07;480.00;258.80;35052.15
16.88;73.30;0.08;439.70;259.20;34790.89
16.83;73.60;0.07;458.60;334.50;34080.00
16.84;73.60;0.07;416.20;348.20;33824.81
16.70;72.40;0.07;319.00;298.90;33824.81
16.64;71.90;0.07;274.60;276.70;33685.06
16.80;73.00;0.07;161.00;162.60;33284.05
16.66;72.90;0.07;123.20;122.90;33235.44
16.55;72.80;0.07;125.10;126.10;33545.32
16.52;73.60;0.07;207.30;212.10;33514.94
16.60;73.40;0.07;182.40;187.60;33010.63
16.47;73.70;0.07;174.40;179.40;33144.30
16.51;74.80;0.07;135.40;139.50;33229.37
16.40;74.40;0.07;142.40;148.80;32943.80
16.38;73.90;0.07;137.20;146.00;33077.47
16.39;74.10;0.07;145.20;158.50;32919.49
16.30;74.30;0.07;104.30;111.90;33107.85
16.21;75.80;0.07;70.40;74.60;34067.85
16.06;76.80;0.07;65.17;68.05;35513.92
16.03;77.60;0.07;61.82;64.90;37968.61
15.92;77.60;0.07;46.30;47.95;41316.46
15.88;78.60;0.07;27.80;28.38;43187.85
15.82;79.10;0.07;20.70;21.14;43655.70
15.74;79.40;0.08;12.32;12.59;44214.68
15.67;79.60;0.07;3.86;3.89;44251.14
15.55;79.50;0.07;1.36;1.44;44646.08
15.53;80.10;0.07;0.36;0.39;44463.80
15.45;80.90;0.07;0.06;0.17;44330.13
15.39;81.70;0.07;0.05;0.15;44123.54
15.29;82.30;0.07;0.05;0.10;44245.06
15.26;82.30;0.07;0.04;0.10;44232.91
15.12;82.00;0.07;0.08;0.11;43892.66
15.12;82.40;0.07;0.03;0.08;43394.43
15.12;82.90;0.08;0.06;0.09;43461.27
15.08;83.50;0.08;0.07;0.16;43424.81
15.13;83.50;0.07;0.05;0.12;43594.94
15.13;83.50;0.07;0.05;0.17;43801.52
15.10;83.50;0.07;0.06;0.13;43716.46
15.07;83.60;0.07;0.06;0.13;43467.34
15.06;83.70;0.07;0.06;0.13;42920.51
15.01;83.70;0.07;0.05;0.14;42647.09
15.04;83.70;0.07;0.08;0.13;42373.67
15.04;83.50;0.07;0.06;0.13;41972.66
15.10;83.50;0.07;0.06;0.14;41352.91
15.12;83.60;0.07;0.05;0.15;40848.61
15.15;83.40;0.08;0.05;0.15;40070.89
15.15;83.30;0.08;0.05;0.14;39305.32
15.15;83.30;0.08;0.04;0.15;38946.84
15.18;83.30;0.08;0.08;0.14;38649.11
15.19;83.00;0.08;0.05;0.13;37676.96
15.20;83.10;0.08;0.07;0.10;36771.65
15.18;83.30;0.08;0.06;0.14;35671.90
15.18;83.60;0.08;0.04;0.09;34553.92
15.17;83.80;0.07;0.04;0.15;33721.52
15.16;83.90;0.08;0.06;0.10;32876.96
15.16;83.90;0.07;0.05;0.14;31983.80
15.18;83.80;0.08;0.06;0.16;31035.95
15.16;83.70;0.08;0.07;0.13;30325.06
15.18;83.60;0.08;0.05;0.15;29401.52
15.17;83.70;0.08;0.07;0.12;28556.96
15.18;83.70;0.08;0.05;0.15;27639.49
15.20;83.90;0.08;0.06;0.14;26740.25
15.17;84.10;0.08;0.05;0.13;26661.27
15.13;84.20;0.08;0.06;0.15;26065.82
15.09;84.60;0.08;0.06;0.13;25731.65
15.02;84.80;0.08;0.05;0.19;25160.51
14.94;85.20;0.08;0.04;0.19;24631.90
14.90;85.40;0.07;0.06;0.14;24431.39
14.90;85.40;0.07;0.07;0.15;24012.15
14.89;85.50;0.07;0.03;0.14;23787.34
14.86;85.70;0.08;0.04;0.14;23580.76
14.87;85.70;0.08;0.03;0.16;23453.16
14.83;85.90;0.08;0.06;0.17;23441.01
14.81;85.90;0.08;0.04;0.19;23258.73
14.79;86.00;0.08;0.06;0.15;23204.05
14.84;86.10;0.08;0.06;0.15;22754.43
14.85;85.90;0.08;0.06;0.16;22353.42
14.80;86.00;0.08;0.04;0.16;22499.24
14.71;86.20;0.08;0.06;0.12;22450.63
14.61;86.50;0.08;0.06;0.13;22444.56
14.38;86.10;0.08;0.04;0.18;22395.95
14.37;86.10;0.08;0.05;0.16;22237.97
14.19;85.40;0.08;0.04;0.13;22316.96
14.04;85.40;0.07;0.04;0.15;22286.58
13.88;85.60;0.07;0.06;0.13;22183.29
13.77;85.70;0.07;0.07;0.12;22086.08
13.73;86.00;0.08;0.06;0.14;22049.62
13.65;85.30;0.08;0.03;0.18;22177.22
13.64;85.40;0.08;0.06;0.12;22566.08
13.55;84.80;0.08;0.06;0.16;22517.47
13.71;85.00;0.08;0.04;0.11;22754.43
13.75;84.60;0.07;0.05;0.15;22888.10
13.54;84.70;0.08;0.06;0.18;23131.14
13.50;86.10;0.08;0.04;0.19;24018.23
13.37;85.00;0.07;0.06;0.17;24601.52
13.32;85.90;0.08;0.06;0.17;24868.86
13.34;85.50;0.07;0.05;0.13;25166.58
13.20;85.70;0.08;0.05;0.13;25367.09
13.20;85.50;0.07;0.03;0.18;25683.04
13.20;85.20;0.08;0.06;0.13;25512.91
13.15;84.70;0.07;0.07;0.16;25421.77
13.07;84.50;0.07;0.05;0.15;25488.61
13.07;84.20;0.08;0.07;0.13;25482.53
13.02;83.80;0.07;0.05;0.13;25093.67
13.00;83.80;0.07;0.05;0.16;24735.19
12.88;83.60;0.07;0.04;0.17;24303.80
12.82;83.70;0.08;0.07;0.15;24540.76
12.77;83.70;0.07;0.22;0.28;25257.72
12.73;83.40;0.07;0.99;1.01;25579.75
12.76;83.50;0.07;2.50;2.52;26041.52
12.79;83.40;0.08;5.96;6.04;26764.56
12.86;83.40;0.07;10.50;10.63;26910.38
13.03;83.50;0.07;14.89;15.14;27530.13
13.18;83.30;0.07;19.19;19.56;27991.90
13.28;82.80;0.07;20.02;20.35;28168.10
13.49;82.60;0.07;26.85;27.33;28563.04
13.59;83.10;0.08;30.25;30.62;29292.15
13.74;83.70;0.07;36.49;36.90;29784.30
13.95;85.10;0.08;48.32;48.84;30057.72
14.69;85.00;0.08;79.00;80.20;30616.71
15.06;84.30;0.07;85.00;86.30;31534.18
15.18;83.50;0.07;78.40;79.60;31716.46
15.29;82.90;0.08;97.00;98.60;32299.75
15.35;82.00;0.07;123.10;125.10;32901.27
15.45;81.70;0.07;133.50;135.60;32913.42
15.54;81.30;0.08;168.20;170.50;33235.44
15.68;80.90;0.08;160.60;179.10;33764.05
15.79;80.20;0.07;184.80;184.90;33952.41
15.86;79.30;0.08;182.70;182.60;34231.90
15.97;78.30;0.07;199.10;201.20;34432.41
16.07;77.40;0.08;194.60;197.60;33976.71
16.00;77.30;0.08;183.40;185.00;33782.28
15.98;77.50;0.07;220.00;223.20;33575.70
15.99;77.50;0.08;231.20;234.40;33387.34
16.05;77.60;0.08;228.40;231.30;33198.99
16.08;76.70;0.08;230.60;234.40;33089.62
16.14;76.40;0.07;236.70;241.20;32943.80
16.20;75.70;0.07;233.10;237.60;33381.27
16.23;75.60;0.08;232.20;236.90;33521.01
16.30;75.40;0.07;250.30;255.00;33715.44
16.38;74.40;0.07;239.70;242.40;33806.58
16.35;73.50;0.08;248.00;252.20;33733.67
16.42;74.10;0.07;252.90;254.60;33490.63
16.49;73.60;0.07;244.80;245.10;33296.20
16.44;73.50;0.07;248.70;252.00;32895.19
16.41;73.70;0.07;249.50;254.50;33047.09
16.42;73.90;0.07;248.70;254.40;33284.05
16.44;73.80;0.07;239.10;245.20;33089.62
16.48;73.20;0.07;208.20;213.10;32986.33
16.49;72.60;0.07;205.90;211.10;33326.58
16.55;71.80;0.07;216.50;222.00;32931.65
16.47;71.80;0.07;237.10;243.40;32591.39
16.58;71.60;0.07;243.10;249.00;32658.23
